# HR   HD     Vmag  B-V   SpType            
  473  10148  5.58  0.34  A4n               
  474  10161  6.7   -0.08 B9Vn              
  475  10164  5.97  1.12  K2III             
  476  10204  5.61  0.21  sgA9              
  477  10205  4.94  -0.09 B8III             
  478  10221  5.59  -0.07 A0pSiSr           
  479  10241  6.84  0.44  F5IV-V            
  480  10250  5.18  -0.04 B9V               
  481  10260  6.71  -0.03 B8IIIpSi          
  482  10293  6.37  -0.02 B8III             
  483  10307  4.95  0.62  G1.5V             
  484  10308  6.17  0.44  F2III             
  485  10348  5.99  1.01  K0III             
  486  10360  5.87  0.9   K0V               
  487  10361  5.76  0.87  K5V               
  488  10362  6.34  0.01  B7II              
  489  10380  4.44  1.36  K3IIIbBa0.1       
  490  10390  5.64  -0.07 B9IV-V            
  491  10425  5.78  -0.02 B8IIIn            
  492  10453  5.75  0.44  F5V+F7V           
  493  10476  5.24  0.84  K1V               
  494  10481  6.17  0.42  F2V               
  495  10486  6.34  1.01  K2IV              
  496  10516  4.07  -0.04 B2Vep             
  497  10537  5.25  1.05  K0III             
  498  10538  5.72  -0.01 A1V               
  499  10543  6.21  0.1   A3V               
  500  10550  4.99  1.38  K3II-III          
  501  10553  6.64  0.12  A3V               
  502  10587  6.25  0.04  A2V               
  503  10588  6.34  ""    G8III-IV          
  504  10597  6.35  ""    K5III             
  505  10615  5.71  1.27  K2-3III           
  506  10647  5.52  0.53  F9V               
  507  10658  6.19  1.54  K0                
  508  10697  6.27  0.75  G3Va              
  509  10700  3.5   0.72  G8V               
  510  10761  4.26  0.96  G8III             
  511  10780  5.63  0.81  K0V               
  512  10800  5.87  0.61  G2V               
  513  10824  5.34  1.52  K4III             
  514  10830  5.31  0.39  F1V               
  515  10845  6.55  0.25  A9III             
  516  10859  6.33  0.94  G6-8III           
  517  10863  6.39  0.36  F2Vn              
  518  10874  6.32  0.43  F6V               
  519  10934  5.49  1.6   M3III             
  520  10939  5.04  0.04  A1V               
  521  10975  5.94  0.97  K0III             
  522  10982  5.84  -0.03 B9.5V             
  523  11007  5.79  0.55  F8V               
  524  11022  6.18  1.54  K5-M0III          
  525  11025  5.69  0.94  G8III             
  526  11031  5.82  0.29  A3V               
  527  11037  5.91  0.97  G9III             
  528  11050  6.32  1.02  K0III             
  529  11151  5.9   0.43  F5IV              
