# APOGEE_ID          RA         DEC        VHELIO_AVG 
  2M13253597-4731309 201.399887 -47.525272 226.75787  
  2M13253633-4732131 201.401376 -47.536983 216.87918  
  2M13253633-4732131 201.401376 -47.536983 216.47864  
  2M13253639-4745318 201.401665 -47.758846 232.78966  
  2M13253662-4729036 201.402604 -47.484352 215.7448   
  2M13253677-4742452 201.403226 -47.712563 231.3623   
  2M13253701-4733003 201.404241 -47.550098 220.32689  
  2M13253748-4724421 201.406194 -47.411716 234.54767  
  2M13253763-4716111 201.40679  -47.26977  224.42506  
  2M13253773-4732474 201.407226 -47.546509 241.36926  
  2M13253784-4720033 201.407703 -47.334259 241.69556  
  2M13253786-4719333 201.407785 -47.325939 -4.466997  
  2M13253808-4724539 201.408687 -47.414989 240.73657  
  2M13253812-4736176 201.408871 -47.604916 256.1302   
  2M13253835-4736314 201.409792 -47.60873  218.84035  
  2M13253844-4724017 201.410203 -47.400497 229.34853  
  2M13253855-4721340 201.410629 -47.359451 231.35683  
  2M13253873-4721417 201.411385 -47.361584 18.37016   
  2M13253874-4727582 201.411456 -47.466187 226.91196  
  2M13253875-4728552 201.411497 -47.48201  232.36195  
  2M13253887-4737520 201.411996 -47.63113  228.60728  
  2M13253890-4734286 201.412101 -47.574627 217.0988   
  2M13253904-4718270 201.412693 -47.307526 222.45546  
  2M13253926-4718333 201.413599 -47.309258 242.46545  
  2M13253950-4714055 201.414622 -47.234871 236.65062  
  2M13253994-4731020 201.416422 -47.517223 223.09496  
  2M13253996-4725164 201.416519 -47.421249 230.07402  
  2M13253999-4723207 201.416651 -47.389099 230.93385  
  2M13254005-4723377 201.416888 -47.393822 236.35818  
  2M13254048-4720409 201.418669 -47.3447   234.19566  
  2M13254067-4731286 201.419466 -47.524612 51.33536   
  2M13254097-4726468 201.42072  -47.44635  220.66034  
  2M13254097-4726468 201.42072  -47.44635  220.26668  
  2M13254102-4815581 201.420953 -48.266159 10.899244  
  2M13254114-4738213 201.421453 -47.639252 232.92494  
  2M13254131-4723297 201.422159 -47.391605 229.9718   
  2M13254217-4733437 201.425732 -47.56216  238.31851  
  2M13254218-4816163 201.425768 -48.271221 -83.61956  
  2M13254218-4816163 201.425768 -48.271221 -83.69487  
  2M13254231-4731470 201.426323 -47.529736 225.38702  
  2M13254241-4734531 201.426732 -47.581436 221.66345  
  2M13254241-4734531 201.426732 -47.581436 222.03973  
  2M13254249-4740494 201.427048 -47.680412 220.12068  
  2M13254258-4728051 201.427457 -47.468102 232.47334  
  2M13254272-4737331 201.428025 -47.625866 237.47803  
  2M13254292-4750265 201.428869 -47.840706 ""         
  2M13254314-4724406 201.429754 -47.411293 240.43431  
  2M13254314-4724406 201.429754 -47.411293 240.53372  
  2M13254328-4719132 201.430372 -47.320347 ""         
  2M13254363-4727048 201.431818 -47.451336 226.5452   
  2M13254368-4741139 201.432013 -47.68721  233.33957  
  2M13254401-4725379 201.433406 -47.427219 236.58728  
  2M13254402-4721150 201.43344  -47.354168 228.70357  
  2M13254409-4721089 201.433742 -47.352486 242.13815  
  2M13254413-4727124 201.433915 -47.453461 228.91025  
  2M13254425-4724316 201.434402 -47.408791 236.92813  
  2M13254425-4724316 201.434402 -47.408791 236.42213  
  2M13254454-4733256 201.435619 -47.557129 234.19133  
  2M13254460-4650599 201.435854 -46.849998 24.30794   
  2M13254463-4732189 201.435979 -47.538597 229.88928  
  2M13254464-4731537 201.436038 -47.53159  231.28596  
  2M13254467-4749084 201.436133 -47.819008 -2.3455975 
  2M13254472-4725136 201.436363 -47.420448 236.01157  
  2M13254479-4726235 201.436658 -47.43988  227.9452   
  2M13254483-4738406 201.436823 -47.64463  233.38322  
  2M13254515-4732382 201.438133 -47.543961 216.07076  
  2M13254528-4718284 201.438689 -47.307892 234.35684  
  2M13254556-4733482 201.439865 -47.5634   -23.21095  
  2M13254559-4728506 201.439978 -47.480724 220.07574  
  2M13254564-4726067 201.440168 -47.435204 218.99269  
  2M13254568-4730053 201.440358 -47.50148  216.42989  
  2M13254590-4728027 201.441291 -47.467438 226.78236  
  2M13254595-4729119 201.441473 -47.486649 239.51308  
  2M13254602-4715222 201.441754 -47.256172 226.25586  
  2M13254603-4746453 201.441804 -47.779274 233.65378  
  2M13254617-4711189 201.44238  -47.188599 218.61131  
  2M13254619-4720392 201.442473 -47.344223 225.15434  
  2M13254631-4730283 201.44298  -47.507866 226.72101  
  2M13254633-4725595 201.443054 -47.433216 228.0333   
  2M13254633-4725595 201.443054 -47.433216 225.192    
  2M13254667-4722158 201.444468 -47.371075 237.04306  
  2M13254673-4726271 201.444741 -47.440872 231.43     
  2M13254692-4733171 201.445535 -47.554771 223.32774  
  2M13254701-4727445 201.445908 -47.462383 231.21005  
  2M13254712-4728106 201.446368 -47.469627 228.45636  
  2M13254715-4734461 201.446487 -47.579498 227.33696  
  2M13254719-4722001 201.446636 -47.366695 233.87251  
  2M13254733-4729245 201.447219 -47.490166 243.69385  
  2M13254744-4718435 201.447686 -47.312084 230.03476  
  2M13254757-4732378 201.448214 -47.543861 223.2106   
  2M13254780-4711161 201.449176 -47.187824 232.67871  
  2M13254785-4728443 201.449376 -47.478985 225.80048  
  2M13254801-4725079 201.450044 -47.418884 231.50407  
  2M13254805-4724302 201.450236 -47.408398 242.268    
  2M13254806-4800219 201.450256 -48.006096 9.175207   
  2M13254806-4800219 201.450256 -48.006096 9.290433   
  2M13254810-4742143 201.450429 -47.703979 231.67075  
  2M13254839-4741144 201.451658 -47.687355 243.82426  
  2M13254851-4732334 201.452125 -47.542625 226.7105   
  2M13254864-4729035 201.45267  -47.484322 228.9878   
  2M13254864-4729035 201.45267  -47.484322 229.15536  
  2M13254864-4728353 201.452673 -47.476475 227.93619  
  2M13254864-4728353 201.452673 -47.476475 227.56277  
  2M13254864-4739458 201.452674 -47.662746 229.20726  
  2M13254865-4723249 201.452741 -47.390263 207.1403   
  2M13254865-4740598 201.452746 -47.683296 -18.89963  
  2M13254881-4650365 201.453411 -46.843498 221.88026  
  2M13254886-4722355 201.453592 -47.376537 229.45007  
  2M13254891-4733257 201.4538   -47.55715  233.979    
  2M13254896-4728481 201.454009 -47.480034 241.54861  
  2M13254906-4730224 201.454422 -47.506237 222.62978  
  2M13254924-4740258 201.455192 -47.673859 233.24161  
  2M13254932-4728078 201.455522 -47.468845 227.7495   
  2M13254933-4739403 201.455559 -47.661201 247.39436  
  2M13254935-4722538 201.455626 -47.38163  220.47961  
  2M13254943-4712450 201.45599  -47.212517 235.8631   
  2M13254946-4740014 201.456102 -47.667072 229.67804  
  2M13254952-4727203 201.456337 -47.455658 258.00934  
  2M13254953-4738014 201.456395 -47.633739 225.38893  
  2M13254955-4725033 201.456459 -47.417606 241.67003  
  2M13254966-4737362 201.456918 -47.62674  230.29694  
  2M13254966-4737362 201.456918 -47.62674  230.83736  
  2M13254976-4734544 201.45734  -47.581791 228.54247  
  2M13254980-4802268 201.457501 -48.040791 -58.168625 
  2M13254980-4802268 201.457501 -48.040791 -58.451977 
  2M13254998-4727386 201.458284 -47.460747 222.94142  
  2M13255010-4735149 201.458756 -47.587494 226.63527  
  2M13255010-4735149 201.458756 -47.587494 226.8298   
  2M13255012-4726092 201.458845 -47.43589  230.63077  
  2M13255019-4717564 201.459143 -47.299015 228.47458  
  2M13255029-4738030 201.459544 -47.634171 230.01624  
  2M13255061-4723220 201.460899 -47.389458 208.0293   
  2M13255089-4702527 201.462059 -47.047989 227.94109  
  2M13255090-4734015 201.462093 -47.567097 227.70427  
  2M13255091-4729215 201.462128 -47.489315 234.91002  
  2M13255093-4731410 201.462234 -47.528069 228.45256  
  2M13255107-4720101 201.462824 -47.336155 227.31985  
  2M13255109-4723246 201.462883 -47.39019  221.941    
  2M13255120-4727018 201.463335 -47.450512 222.81088  
  2M13255133-4716400 201.463909 -47.277802 227.42514  
  2M13255149-4728387 201.464562 -47.477444 228.85597  
  2M13255161-4715184 201.465043 -47.255123 231.70021  
  2M13255163-4722080 201.465162 -47.368916 235.77814  
  2M13255166-4732085 201.465251 -47.535721 222.85712  
  2M13255187-4715351 201.466125 -47.259754 244.81154  
